StoreNumber,Store,Street,City,State,Zip,Latitude,Longitude
4171484,Dominos,599 E St,Camas,WA,98607,45.5870631,-122.3995363
4171636,Dominos,1 Hwy 87,Fayetteville,WV,25840,38.0528884,-81.1039911
4169475,Dominos,7 Mill Rd,Durham,NH,3824,43.1339545,-70.9264393
4167183,Dominos,25 W D St,Lemoore,CA,93245,36.3091807,-119.7808087
4169558,Dominos,2901 US 1,Lawrenceville,NJ,8648,40.3016375,-74.7361013
4169988,Dominos,10 N Main,Kenton,OH,43326,40.6469982,-83.6096516
4170665,Dominos,507 30 RD,GRAND JUNCTION,TN,38039,35.0489781,-89.1870119
4169202,Dominos,203 N. 7th,Bozeman,MT,59715,45.677778,-111.047222
4169473,Dominos,7 Davis St,Keene,NH,3431,42.933692,-72.2781409
4167780,Dominos,9845 SR 52,Hudson,FL,34669,28.3514986,-82.6579412
4167688,Dominos,12189 US 1,North Palm Beach,FL,33408,26.818333,-80.063611
4168600,Dominos,4 Canal St,Salem,MA,1970,42.5094035,-70.8960686
4169017,Dominos,408 Hwy 50,Union,MO,63084,38.4500517,-91.0084762
4169505,Dominos,454 CR 519,STEWARTSVILLE,NJ,8886,40.6939887,-75.1110317
4169294,Dominos,512 NC-168,Moyock,NC,27958,36.524793,-76.1783247
4170096,Dominos,5765 SR-48,Maineville,OH,45039,39.3150592,-84.2207697
4171136,Dominos,6920 Delta,El Paso,TX,79902,31.7733721,-106.4866062
4170888,Dominos,560 Hwy 79,Hutto,TX,78634,30.5426995,-97.5466702
4170859,Dominos,611 Shiloh,Laredo,TX,78045,27.5883203,-99.4876115
4170772,Dominos,5405 Ave I,Rosenberg,TX,77471,29.5659708,-95.7734266
4171390,Dominos,6 Union St,Yakima,WA,98901,46.6140435,-120.4454218
4166779,Dominos,1002 S Main,Hope,AR,71801,33.6599983,-93.5901551
4167295,Dominos,380 3rd Ave,Chula Vista,CA,91910,32.6400541,-117.0841955
4167870,Dominos,2 E Main St,Apopka,FL,32703,28.676111,-81.510556
4167829,Dominos,36801 SR 52,Dade City,FL,33525,28.3647248,-82.1959178
4167763,Dominos,9 W 45TH ST,Jacksonville,FL,32208,30.3733659,-81.6484353
4168017,Dominos,2000 Hwy 38,Blackshear,GA,31516,31.3060513,-82.2420661
4168011,Dominos,1879 Hwy 13,Buford,GA,30518,34.1040621,-84.0027912
4168115,Dominos,1104 S Main,Moscow,ID,83843,46.732387,-117.000165
4168286,Dominos,646 Rt. 173,Antioch,IL,60002,42.4772418,-88.0956396
4168153,Dominos,4510 Oakton,Skokie,IL,60076,42.0264441,-87.7408875
4168142,Dominos,716 S Logan,West Frankfort,IL,62896,37.8985966,-88.9233622
4168744,Dominos,105 Mayo Rd,Edgewater,MD,21037,38.940564,-76.5629398
4168649,Dominos,382 Main St,Gloucester,MA,1930,42.6186994,-70.6811613
4168646,Dominos,270 Main St,Hanson,MA,2341,42.0170357,-70.8480177
4168605,Dominos,274 Main St,Reading,MA,1867,42.5145882,-71.1052811
4168815,Dominos,7126 Pardee,Taylor,MI,48180,42.240872,-83.2696509
4168814,Dominos,7126 Pardee,Taylor,MI,48180,42.240872,-83.2696509
4168931,Dominos,5862 Oak St,North Branch,MN,55056,45.5102135,-92.9931054
4168899,Dominos,44 W 1st St,Waconia,MN,55387,44.8492593,-93.7807208
